"score","coverage","variants","original_variants","format","original_build","action"
"PGS003153","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003154","1","314838","314838","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003155","1","40176","40176","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003156","1","88908","88908","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003157","1","10318270","10318270","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003158","1","1113819","1113819","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003159","1","313902","313902","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003160","1","83714","83714","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003161","1","190297","190297","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003162","1","10318272","10318272","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003163","1","1113819","1113819","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003164","1","263612","263612","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003165","1","9","9","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003166","1","9","9","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003167","1","9805","9805","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003168","1","1100788","1100788","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003169","1","291530","291530","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003170","1","2232","2232","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003171","1","2232","2232","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003172","1","5880","5880","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003173","1","1101425","1101425","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003174","1","312224","312224","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003175","1","11","11","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003176","1","19","19","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003177","1","10318270","10318270","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003178","1","1113819","1113819","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003179","1","310479","310479","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003180","1","5","5","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003181","1","15","15","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003182","1","10318270","10318270","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003183","1","1113819","1113819","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003184","1","108547","108547","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003185","1","16","16","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003186","1","15","15","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003187","1","98135","98135","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003188","1","1058027","1058027","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003189","1","547654","547654","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003190","1","495","495","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003191","1","605","605","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003192","1","10313259","10313259","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003193","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003194","1","548161","548161","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003195","1","404","404","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003196","1","500","500","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003197","1","10313258","10313258","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003198","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003199","1","109290","109290","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003200","1","23","23","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003201","1","22","22","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003202","1","805427","805427","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003203","1","1058756","1058756","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003204","1","4360","4360","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003205","1","5300","5300","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003206","1","9873","9873","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003207","1","355","355","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003208","1","12076","12076","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
