"score","coverage","variants","original_variants","format","original_build","action"
"PGS000889","1","9009","9009","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000890","1","1029158","1029158","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000891","1","66","66","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000892","1","1119211","1119211","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000893","1","5427","5427","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000894","1","1175595","1175595","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000895","1","76","76","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000896","1","1100062","1100062","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000897","1","13","13","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000898","1","40","40","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000899","0.96","169","176","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000900","1","1097704","1097704","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000901","1","1097704","1097704","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000902","0.79","71","90","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000903","0.84","1508","1805","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000906","1","330","330","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000907","1","1773528","1773528","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000908","1","2746982","2746982","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000909","1","2862172","2862172","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000910","1","735440","735440","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000911","1","530933","530933","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000912","1","1097704","1097704","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000913","1","1097704","1097704","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000914","1","6","6","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000921","1","1947711","1947711","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000922","0.83","10","12","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000923","0.91","20","22","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000924","1","5","5","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000925","0.99","399","402","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000926","1","4185","4194","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000927","0.99","240","242","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000928","1","170","170","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000929","1","6","6","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000930","1","118","118","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000931","1","533","534","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000932","0.99","110","111","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000933","0.99","429","433","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000934","0.99","128","129","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000935","1","370","370","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000936","1","5962","5987","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000937","1","2598","2603","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000938","1","2559","2563","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000939","1","2547","2553","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000940","0.99","438","443","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000942","1","391","391","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000943","1","5","5","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000944","1","596","598","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000945","1","26","26","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000946","1","9","9","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000947","1","1640","1648","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000948","1","1895","1899","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000949","1","3079","3085","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000950","0.99","168","169","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000951","1","13699","13735","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000952","1","14266","14311","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000953","1","7667","7688","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000954","1","9245","9272","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000955","1","7058","7069","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000956","1","9734","9756","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000957","1","11233","11276","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000958","1","9370","9400","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000959","0.88","14","16","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000960","0.94","74","79","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000961","1","1138","1143","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000962","1","2161","2168","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000963","1","264","264","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000964","1","47","47","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000965","0.99","4504","4535","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000967","0.99","630","634","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000969","1","36237","36345","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000972","1","1096","1097","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000976","1","16","16","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000977","1","3","3","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000978","1","3474","3483","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000980","1","2586","2594","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000982","1","1138","1141","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000984","1","5762","5774","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000987","1","13231","13277","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000988","1","7163","7184","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000989","1","6236","6251","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000990","1","237","237","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000991","1","2804","2816","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000993","1","3918","3925","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000994","1","3111","3119","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000995","1","6029","6042","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000996","1","367","368","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000997","1","5737","5757","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000998","1","24050","24144","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000999","1","12992","13034","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001000","1","10238","10264","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001001","1","7725","7743","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001002","1","34956","35046","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001003","1","8068","8085","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001004","1","5201","5212","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001005","1","525","526","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001006","1","2630","2638","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001007","1","9976","9997","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001008","1","10435","10464","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001009","1","9497","9523","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001010","1","15093","15135","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001011","1","5","5","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001012","1","2095","2103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001013","1","53","53","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001014","0.99","68","69","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001015","1","448","449","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001016","1","7899","7922","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001017","1","3339","3348","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001018","1","2907","2912","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001019","1","11326","11361","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001020","1","220","220","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001021","1","9716","9747","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001022","1","7694","7714","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001023","1","2","2","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001024","1","784","786","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001025","1","36","36","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001026","1","45","45","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001027","1","118","118","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001028","0.98","120","123","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001029","1","22","22","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001030","1","51","51","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001031","1","252","252","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001032","1","161","161","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001033","1","1","1","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001034","1","6636","6651","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001036","0.92","35","38","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001037","1","14265","14310","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001038","1","9248","9275","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001039","1","9731","9753","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001040","1","1603","1610","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001041","0.99","1290","1298","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001042","0.98","221","226","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001043","0.93","64","69","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001044","0.99","322","324","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001046","1","6159","6169","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001047","1","2237","2245","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001048","1","686","687","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001049","1","4285","4299","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001050","1","1854","1857","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001051","0.91","63","69","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001052","1","5644","5661","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001053","1","2319","2323","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001054","1","7373","7407","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001055","1","11405","11428","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001056","1","990","991","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001057","1","4875","4882","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001058","1","146","146","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001059","1","1283","1286","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001060","1","6663","6678","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001061","1","1083","1085","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001062","1","4247","4257","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001063","1","728","730","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001064","1","116","116","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001065","0.8","4","5","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001066","1","1605","1609","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001067","1","2343","2346","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001068","1","1348","1353","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001069","1","4976","4994","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001070","1","880","880","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001071","1","6768","6782","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001072","1","39","39","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001073","1","1321","1323","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001074","1","3833","3846","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001075","1","7515","7535","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001076","1","12501","12563","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001077","1","13658","13703","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001078","1","8726","8762","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001079","1","18763","18814","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001080","1","5583","5594","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001081","1","9","9","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001082","0.99","142","143","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001085","1","214","214","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001086","1","1025","1028","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001087","1","8322","8353","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001088","1","2837","2842","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001090","1","7528","7555","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001091","1","657","660","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001092","1","1646","1649","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001093","1","6946","6970","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001094","1","4006","4024","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001095","1","5646","5662","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001096","1","2119","2127","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001097","1","21","21","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001098","1","1619","1621","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001099","1","6621","6639","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001100","1","7330","7350","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001101","1","27308","27396","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001102","1","25198","25266","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001103","1","28054","28134","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001104","1","28083","28163","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001105","1","25566","25651","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001106","1","23885","23943","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001107","1","1040","1040","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001108","1","32078","32154","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001109","0.99","1897","1910","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001110","0.83","5","6","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001111","0.99","310","313","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001112","1","499","499","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001113","1","789","790","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001114","0.99","414","419","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001115","1","4658","4673","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001116","0.99","172","174","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001117","0.96","65","68","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001118","1","1843","1846","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001119","1","13721","13767","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001120","1","12602","12644","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001123","1","48","48","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001124","1","9662","9694","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001125","1","431","432","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001126","1","3144","3154","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001127","1","12278","12310","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001128","1","4343","4348","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001129","1","972","974","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001130","1","724","725","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001131","0.99","81","82","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001132","0.99","1522","1530","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001133","1","14064","14103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001134","1","15438","15481","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001135","0.99","1022","1028","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001136","1","30","30","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001137","1","321","321","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001138","1","454","456","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001139","1","11","11","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001140","1","1363","1368","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001141","1","7656","7676","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001142","1","2212","2215","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001143","1","697","699","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001144","1","23611","23676","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001145","1","23465","23528","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001146","1","28993","29063","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001147","1","23501","23565","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001148","1","29147","29233","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001149","1","27471","27550","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001150","1","4100","4106","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001152","1","10138","10179","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001154","1","26646","26740","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001155","1","28889","28999","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001156","1","30025","30140","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001157","1","30186","30300","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001158","1","30339","30421","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001159","1","32017","32103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001160","1","32599","32685","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001161","1","32096","32218","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001162","1","24534","24605","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001163","1","9301","9323","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001164","1","280","280","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001165","1","30276","30360","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001166","1","30256","30340","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001167","1","31959","32046","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001168","1","34656","34749","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001169","1","34395","34486","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001172","0.99","12511","12579","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001173","1","15537","15578","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001174","1","968","970","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001179","1","7","7","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001180","1","15099","15141","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001181","0.99","4707","4739","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001182","0.99","347","351","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001185","1","3576","3584","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001192","1","4513","4525","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001199","1","4196","4212","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001200","1","24035","24114","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001218","1","2354","2359","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001219","1","12957","13003","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001220","1","17251","17311","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001225","1","15670","15721","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001226","1","6265","6278","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001227","1","25472","25538","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001228","1","27043","27126","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001229","1","51007","51209","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001230","1","31138","31222","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001232","1","10027","10055","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001233","1","14424","14455","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001234","1","30587","30666","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001235","1","28920","28988","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001236","1","17690","17732","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001237","1","20861","20921","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001238","1","24812","24893","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001239","1","13744","13785","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001240","1","20410","20480","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001241","1","21631","21694","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001242","1","13368","13416","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001243","1","15089","15134","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001244","1","957","958","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001245","1","2683","2693","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001246","1","4123","4130","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001247","1","3150","3159","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001248","1","879","880","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001249","1","1790","1796","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001250","1","340","341","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001251","1","57","57","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001252","1","3722","3731","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001253","1","3092","3098","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001254","1","11","11","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001255","1","213","213","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001256","1","876","876","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001257","1","518","519","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001258","1","365","365","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001259","0.98","342","349","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001260","1","2554","2562","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001261","1","2518","2524","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001262","1","1847","1852","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001263","1","2083","2087","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001264","1","835","839","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001265","1","1525","1530","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001266","1","1767","1773","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001267","0.9","9","10","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001268","0.9","9","10","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001270","0.95","39","41","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001271","0.94","34","36","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001272","1","158","158","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001273","1","315","316","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001274","1","1267","1270","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001275","1","6","6","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001276","0.99","183","185","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001277","1","96","96","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001278","1","550","551","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001279","1","94","94","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001280","1","88","88","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS001281","1","25","25","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
